INFO:root:         3089015 function calls (3068914 primitive calls) in 7.022 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1000    0.001    0.000    0.004    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/fromnumeric.py:202(reshape)
     6000    0.003    0.000    0.004    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/sklearn/_config.py:13(get_config)
     1500    0.002    0.000    0.004    0.000 <__array_function__ internals>:2(shape)
     4506    0.003    0.000    0.004    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/scipy/_lib/_util.py:293(<listcomp>)
     4506    0.002    0.000    0.004    0.000 <string>:1(__new__)
     1000    0.004    0.000    0.004    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/sklearn/tree/tree.py:81(__init__)
     9012    0.003    0.000    0.004    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/inspect.py:158(isfunction)
     9004    0.004    0.000    0.004    0.000 {method 'copy' of 'dict' objects}
     4000    0.002    0.000    0.003    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/sklearn/utils/validation.py:913(<listcomp>)
      500    0.002    0.000    0.003    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/linalg/linalg.py:144(_commonType)
     1502    0.003    0.000    0.003    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/scipy/stats/_distn_infrastructure.py:1617(_updated_ctor_param)
     6000    0.003    0.000    0.003    0.000 {method 'insert' of 'list' objects}
     4506    0.003    0.000    0.003    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/scipy/_lib/_util.py:307(<listcomp>)
    24032    0.003    0.000    0.003    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/inspect.py:2529(kind)
    14526    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
    22530    0.002    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/inspect.py:2835(parameters)
     6000    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
     4506    0.002    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/inspect.py:504(_is_wrapper)
     4506    0.002    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/scipy/stats/_distn_infrastructure.py:41(instancemethod)
     1000    0.002    0.000    0.002    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     1000    0.002    0.000    0.002    0.000 {built-in method numpy.zeros}
     7512    0.002    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/enum.py:526(__new__)
     1002    0.002    0.000    0.002    0.000 {method 'from_buffer' of '_ctypes.PyCArrayType' objects}
     4506    0.002    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/scipy/_lib/_util.py:297(<listcomp>)
     3002    0.002    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/scipy/stats/_distn_infrastructure.py:862(_argcheck)
    18000    0.002    0.000    0.002    0.000 {built-in method _warnings._filters_mutated}
    12006    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
     4506    0.002    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/scipy/_lib/_util.py:302(<listcomp>)
     1500    0.002    0.000    0.002    0.000 {method 'fill' of 'numpy.ndarray' objects}
     1000    0.001    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/linalg/linalg.py:116(_makearray)
    13518    0.002    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/inspect.py:2517(name)
     1500    0.002    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/numerictypes.py:654(<listcomp>)
     1505    0.002    0.000    0.002    0.000 {built-in method numpy.empty}
     4506    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
     4511    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x1038f5d50}
      500    0.002    0.000    0.002    0.000 {built-in method numpy.arange}
       34    0.000    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/gzip.py:278(read1)
        1    0.000    0.000    0.002    0.002 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/sklearn/model_selection/_split.py:1998(train_test_split)
     1002    0.001    0.000    0.001    0.000 {built-in method _ctypes.pointer}
       34    0.000    0.000    0.001    0.000 {method 'read1' of '_io.BufferedReader' objects}
       34    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/_compression.py:66(readinto)
